(17,376)	165	4438	3743	2114	7033	7817	3645	145	2662	10894	4468	658	3850	7582	9091	2583	5909	3995	9123	3808	934	6735	1704	7771	866	6252	287	4835	28	3016	8944	10494	5079	10926	353	6328	5027	1564	2358	6792	1751	10292	9117	6745	10298	6643	4980	7261	5418	1902	7989	10277	3520	6039	10473	6557	4113	3139	10041	6536	4511	7416	7767	7489	10773	1973	8643	9157	5815	9036	152	4810	4871	1246	1834	6307	202	6729	8378	9712	9058	11258	91	7527	8630	9687	2046	6302	7180	3811	8311	4541	218	9892	2360	8763	128	53	11079
(17,11134)	7626	7325	10658	5705	7939	4639	7713	6132	6798	3583	9602	10578	1007	3298	7780	9185	467	4776	892	8753	4682	6006	3784	7764	7292	6108	6295	354	10378	1046	7219	3167	4690	405	11025	10235	4422	1491	956	4304	6762	520	1958	725	3357	7899	2755	1004	4089	1724	6135	5340	7275	3206	846	6563	8951	3577	3042	10852	7412	9245	6559	10792	4674	4642	3887	5675	8085	1170	3584	7825	1663	1245	3703	5770	8071	2059	8491	5872	3158	10240	8979	7696	1895	11202	1385	4989	6223	8684	8891	7784	169	5823	5805	4087	7890	3782	2437
(17,7555)	8326	3137	11064	9927	2407	6807	6365	6959	2559	1135	5925	4751	9430	3259	8181	5645	5764	2374	7761	4239	8221	10629	8034	8608	9981	10142	3559	3598	3818	7036	2904	3662	10558	4267	1840	5455	8169	2338	9958	9542	4650	9070	7495	1512	4037	1128	3567	3990	8112	8344	4164	3762	2602	10992	4952	2825	7726	7478	514	5260	3493	4249	3884	7777	2514	6323	5833	5999	5495	8086	2229	1860	524	10723	9356	2807	918	641	7363	4501	10909	5331	7415	10750	10421	158	7514	10655	1145	8172	7483	7640	4693	2548	10071	5640	6279	8283	9091
(17,10120)	10733	10192	9105	570	3215	3410	7941	2599	10483	5469	832	11228	7544	3137	10323	2417	8500	8954	2907	9608	8854	4492	6559	4165	1216	9110	700	2845	5265	2704	9002	11006	2266	1506	2879	1711	8192	9702	3214	5232	3031	4407	67	9728	11149	9051	1100	7293	2150	11279	6076	5378	2363	5243	1482	3302	7265	4964	3963	1398	3868	7198	5627	3547	4590	9289	9149	7196	9159	9973	10647	66	3501	2786	7422	6	1763	8916	3531	1312	2318	8106	5349	8725	875	3358	10636	500	2138	10850	1583	3437	4121	5160	1315	2514	368	4703	8231
(17,907)	5432	9580	2554	5550	10937	5645	6410	9851	2056	4261	7856	4976	2536	7046	2612	10314	8053	3726	4205	409	9735	3793	3721	9073	5598	5125	990	10481	4975	7662	7252	7664	4553	10103	3055	10947	8705	1106	1851	4108	5192	583	11128	11091	4041	8039	7701	1097	3356	258	6548	1462	5953	8293	877	7304	8076	3731	2624	2802	9817	2609	5365	8463	8988	11245	303	9010	9179	8556	5151	10023	9395	631	1086	3495	8044	4541	11122	4849	9655	7989	4180	602	5477	4626	1119	7840	3126	11291	5483	3712	10215	7704	1576	890	6829	3444	7010
(17,2448)	1286	4356	2449	9537	4708	8905	6420	9478	9643	10832	1330	4845	9807	3976	6913	2293	2700	7578	2269	10213	9242	122	8233	916	7024	3876	902	6321	6215	6180	6163	7286	4455	3912	1589	10968	1965	9295	3833	10943	5842	9620	10677	659	4762	346	10458	8871	7074	2843	725	1483	2758	159	5454	5677	5688	1981	3726	247	1447	3596	2960	680	2019	5912	5450	3376	6633	1144	3729	4962	6230	355	3054	2326	6466	3515	2579	6928	343	6587	4003	3480	10862	6717	911	701	1016	8551	8338	10804	6836	5657	11116	9911	815	1555	8254
(17,2457)	10978	6471	10793	4374	4220	5085	8579	160	4775	6600	3798	9305	4072	10216	4977	1716	7129	2185	1151	9311	1755	9545	1860	6036	9354	6988	3525	1866	10974	6693	6557	2775	6999	2776	1050	7145	5742	9767	1027	5620	5536	9999	1335	8284	9770	11169	10915	3942	2508	3907	11126	10374	145	5255	77	6512	7483	1091	4968	1395	9359	5803	1677	8779	2345	501	753	10814	4677	7871	11253	2150	6717	7780	1425	4831	5498	46	9744	5296	2548	5417	8311	3400	2840	9816	5109	8361	6119	8944	9508	10264	9790	3346	7563	523	10432	7022	2693
(17,5533)	3347	2193	2814	85	5045	2917	4151	8677	9052	7063	860	7352	9080	7115	4883	3172	9236	6838	194	8938	3068	6344	10845	2317	8460	4012	6412	10811	2451	8525	5150	5652	4659	2488	2785	1936	494	9964	10880	3472	7145	4818	7673	1600	8300	6959	7478	6467	347	6034	5243	11052	7395	9176	11148	6760	10532	8714	4058	3176	5191	5936	2093	11111	5237	1021	3535	4271	9032	8214	8056	8312	9735	7022	9774	5352	3140	8354	11043	7882	1583	6438	9722	9588	4038	9500	2907	9168	5425	9396	2161	648	9586	8201	8815	1461	3993	8152	10530
(17,4000)	5304	6255	7525	4921	2080	11256	7457	8664	2315	9289	618	5899	6493	10814	10689	6662	6633	4688	87	3158	5221	5464	6609	8833	1754	4075	6200	9437	3738	7534	7167	1576	8766	4843	266	6471	7531	6747	2545	2578	10628	4668	867	6168	10989	6534	8184	8604	667	3818	2470	2577	6980	7068	10907	10935	226	3835	8277	3121	4319	10292	7719	7609	9445	3434	1021	10680	1680	1764	7154	3512	308	1144	5419	4559	6919	2609	262	9691	4085	8870	54	4257	4507	10388	5447	5020	7413	7218	2367	10398	2214	5225	8120	5708	11181	5867	5702
(17,7092)	7837	8949	1493	1549	9197	8006	8622	8394	10268	1504	8680	2919	8388	7241	4467	2846	2542	2874	4053	9883	6359	8291	11216	6440	4804	785	5483	369	4432	1572	7628	9831	11064	3722	6908	3252	5269	9545	8483	7048	5645	7096	9915	6315	1284	193	4571	7675	5053	6496	4088	6174	5224	3877	5673	6479	11171	5881	8146	1446	6698	10314	1374	4126	7342	5715	3223	6310	5125	7704	7192	7033	8816	9376	2168	3238	8882	10757	2519	7885	2675	951	2479	1664	4846	10605	10194	9456	7385	2315	2553	287	2871	3054	5878	2766	2870	8560	5049
